stock_id;book;trade
0;c439ef22282f412ba39e9137a3fdabac.parquet;ef805fd82ff54fadb363094e3b122ab9.parquet
1;31a1c5cd6d8546b383d10373db762236.parquet;170b39f1f7144bb3b4554aabc336106e.parquet
2;36f27d865da54e8d92ff54e07ac4afd2.parquet;ca5a4d1f67024204ac7fd496a0b46ba3.parquet
3;ccc6d426f595409680d6f422ed911bee.parquet;e0843aaf024f49228b281081a2524b39.parquet
4;6ae39a36676a419f8847cb217e5ec75d.parquet;761268d671f9429abb29d9d2895e9bd2.parquet
5;c39da423b1404b00946ceedf32ae3f07.parquet;a5fd25253e3f43db884fe1e6fc2a06c3.parquet
6;84352cd5e3424aeaadf11f8d89c8a07a.parquet;fcf85e8ee88944d7bcbc9fc9862ee3f1.parquet
7;4f66c3336dec449280ed3719530f9486.parquet;5ea290c973aa45d587602b4efb7205f2.parquet
8;e40cd587617e4bfc86f0125aef383932.parquet;34dec4dac8ad49e2b4104f7c0ba105b3.parquet
9;8a87bd6ec9934a889026174cceb9e30a.parquet;01a3aa0496884cba833aa60b1c67ae6c.parquet
10;d671bb2b87f447d4ba3fa4b18b3656f9.parquet;4be9b4d23e0149af9dc20ec10d5a360f.parquet
11;755d9c4058914e2a901aaeccf2406e30.parquet;5e8cea995bff4682a377e1d3932b08e2.parquet
13;e576f0cd91c347a7b1cdb87c3bd1abf4.parquet;2aeef69f03154de5835b9ba611d16172.parquet
14;ae1ae9deed8048fbb1191a77ca68ab24.parquet;50621e92b84e47a197071584bea4bf1d.parquet
15;a47deb70de554fdcb7b780bd060d4564.parquet;43c3ace09a0a45b889073ce646bc6832.parquet
16;eaa06704bf15493fae496cdf6c016b6c.parquet;09bbef3150f744b2979fcab0ebf9e001.parquet
17;4539ddf198a64337bdeca019b4edb1bb.parquet;687d7abe51a24e2084bcb95eb8174e9b.parquet
18;cbc56bf4cc424b12ae18493920465a3a.parquet;06bb948e2275475e92fd90735050657f.parquet
19;cae027e29b0749b5b2e139134b75fe63.parquet;7876f5e5338c4521982a7001d4489727.parquet
20;fe0e467dc2ca4092afc151d4069c54a7.parquet;4c8b1e3b619a4ee496d68962d30c6da4.parquet
21;60cc70a1e25d4da7b39fbfac2bd9fab1.parquet;1d8dc18ebfee47ffbb54b04e6afc0634.parquet
22;3f2ddd48d0b147f09c852cc2034ece80.parquet;dfb544bbc3c34211bf12a6dfe6b584af.parquet
23;9229d9611b4e45b4bf81d60939a8274a.parquet;dfe7edcd05564b07983496d1b8a3b3c1.parquet
26;1adc4a39b6fe4f8bbbedd7551006a170.parquet;16a87247231944c4a0be45f797d14eb8.parquet
27;0e5f57dd508b46cb9d6d88bd63aeaedd.parquet;5eac589708444020a196eb738f06ce08.parquet
28;e956e66d12664e509d27a680731a4057.parquet;ec6f88c0ae114ff482cac8fb6f78e87d.parquet
29;9534c4ef29c049f6af22f4ca8305f315.parquet;ccea57f8a6324f969fe7144950c7369b.parquet
30;ee59d4b4cf4847adaee7de785d7918e4.parquet;8d772f1265d64c06add811d2ae912c7e.parquet
31;c0b9eb5ed0bf40bc838fab4da5459f76.parquet;26f4296741054f9da7e7848521a80526.parquet
32;446dd6db2d064e5b86666c66ec669755.parquet;af90f42692874cefaa07e585d739bc7b.parquet
33;85142fc4257b4ece8157a174ae6d2f4f.parquet;917a91c91ce04f62939b8710660ebb3b.parquet
34;4cb0d70566654bf480518b3a1cee2ad2.parquet;a55d7f7c8ff5406c9ba9e4b0f8af0ada.parquet
35;8803efd6c9c44895a6fda59448a8eede.parquet;e2480196f2a3426ea84e9b4284414bc0.parquet
36;0ffca9c0dae84890ad8c923d4b95e840.parquet;4f713fbe94f542579ec55561a22db006.parquet
37;7163ec1911204a10a479e421c0a41a35.parquet;941cf9679a80466893da714884f5c4b0.parquet
38;c49c83c6eb1c41f0b8f0d61de1e3bb89.parquet;e3ed94a67a444dc1a04838588ffa443f.parquet
39;99d14712047840fbb3a93eb1f6ebc7a2.parquet;364c0ad490cb4b9cb493c952b2124f17.parquet
40;ab33096950f647ddb7b705f17b21f11c.parquet;61456b44107d4b24bfe5d4ad90baaafe.parquet
41;3090fd7adaf447679b6e836778168be8.parquet;bbde7b09f5e743508840782fac034d10.parquet
42;01281c6eedfc46c1b72357c484e640b5.parquet;caab969eb87b4f7abfdd18d606a22ed0.parquet
43;ce8f54442b1142338d2e4b02b9dc578a.parquet;bb0efa57f511470e817880842e3e2afa.parquet
44;31274a12b2ec4c24a4a57a054e67d704.parquet;bdfeb97d57a149049aecb2250af2c82a.parquet
46;db00d635f1614686837abc1c71f6e16b.parquet;7c55f1b4f4a34f83981f05974369ff6f.parquet
47;ede300b0202a43caaaefc8ae07475c33.parquet;79bac282f1da4cb4aa24f7c667740341.parquet
48;5c08c8582813448e8e87eda2c3c36b84.parquet;507fb85f3c2a484f9fa4a78bcbfa992b.parquet
50;0f5c98a29be64774a136b60f71033ec6.parquet;935a65e6f4fc4e5990d086d6f6b4a932.parquet
51;ace8af4c1a474efd80544609ea4a47c4.parquet;f868a356824b4825a3c804206f513f70.parquet
52;d5eb854d66174f5483449da151fbca50.parquet;54a5eea04ed042759b75b0bca90d1ced.parquet
53;46c591d10f0940de908317001e533db7.parquet;caf58d3fd60c4a699d78ef114cf9ee17.parquet
55;d3bdb39f65d34bb18278d789729f9323.parquet;1f19ad38e0d54c9680dc34dadf4dce47.parquet
56;55f4ad52ac2347f1a468ea3bf0cb7adc.parquet;b8615a9991bd4eada46a0483f9f9e3e6.parquet
58;33de4ffff5494e3a8ecc02c7b6d9433a.parquet;b0e92dc583a544a08308d8c4e1df52af.parquet
59;fd5b747386604005b18594c00f0312ab.parquet;2653e96292d24c64b27c0b70de53b2f9.parquet
60;6242aca22efd458fbec9a13c86ab42ee.parquet;ae35d2b5825d4f1c9b52f462862eae04.parquet
61;2522f71edc4d47419f602cc920f906d6.parquet;fab533c5a5a741d8929f391890a4d54d.parquet
62;c2a348a3d0b04a1c945607779c2128dd.parquet;8df3e07ae2b74ad19fd98d4b9acfcbf2.parquet
63;37bff36e80a0485bba2bf875cb3188d4.parquet;107939e77b8642a3a222419adc1ae0f2.parquet
64;acbff79109e44474bfa3a6145bd4244a.parquet;338f683c092048ebaba1708e6dd1e774.parquet
66;3d1df975704b49cbb407d74d1adb53b6.parquet;c544fc443c6042ab9bb4ddec47179a3d.parquet
67;2a7fd60b816b431597dec0e80d0ec3b7.parquet;703c7481d60a43839cd67d09fa3ad6c2.parquet
68;ab42bd95488842f5aa15b750052e79ad.parquet;b077ddd5f9304972b0595a31899d4f8a.parquet
69;16f9fe0eb6544a1d89fbf25f290b8466.parquet;bcd636dbdd0b42bea8ad6a62a0d1fdf4.parquet
70;afecffe028274a66a0e674d0db2d3c3c.parquet;23dc744f46e4478eb2f5253bcbffae15.parquet
72;0a18126395144a0a8ccca55bdbd31f1b.parquet;60f62a03d8854605901dda072c84db39.parquet
73;42238482fd7443838a8fc6490cd329c8.parquet;1443c5278293485cb099fd2fad5348fa.parquet
74;8229e924b5ef4716a0078d9e8ee397bd.parquet;8c298c007a0a4e078dd4efd4addb3057.parquet
75;f0354d49be4e4552b548b410b349bbc8.parquet;5c163b1fc27c4c18acd83eb5ba5ef87d.parquet
76;494ecaad37f9430384ad0a825aab00ec.parquet;8ee1f2bb5bed4bffb273db8b743f0ee7.parquet
77;5f6ce3ce569548c78c2ad17035454639.parquet;3110dbc5706f4c388802faed11845bf9.parquet
78;b6deb113746a4de0a752ca0b2917f7ef.parquet;c40d74d0331c465c9f3466df2abdd524.parquet
80;705f7c3bde584dadba222d4ef6f7973e.parquet;a8c6fe433ef84012b38e96af9014ba2c.parquet
81;3736a90d604d4b8eaa15c6eb5f83fd8c.parquet;253855077c314a04be294ce53c3cdaa2.parquet
82;ae830997c75f405986957af2984493f3.parquet;6614a1b49c5c4c8ba6a9edab2ed8708a.parquet
83;4c10ab2a0f324a1189af12bd5458ef15.parquet;b8f39ee0b1eb4d3d8cda8e83c4f81c2b.parquet
84;53e9faaf11e745debb3c246acea61a84.parquet;98d3ff55665c4405af0688fae832e5e7.parquet
85;1b7a536b29724b60990ee6c368f1fbf0.parquet;a12f69f3bf7e4deaa8fe7e2c9357bc41.parquet
86;6ecdb8f8c4da483b8fd3fbdf6aee4381.parquet;3991563a90bb4206bb6b780546d938d4.parquet
87;670ab2a9e8b548bdaa8b9f8bc9057331.parquet;927eb8a18153489b9f222d748b121473.parquet
88;2c4ed518efb54a4f880a0f945c317fae.parquet;108ca1fef317486f98e9dfab977b6f16.parquet
89;a1cd471332f24761a90f6fadb8b54ccf.parquet;a05080679e8647978809f25206219ae5.parquet
90;380689865a7c4af8aa8625a7a7c40533.parquet;405e4073fed64deda32f8d74362b15b1.parquet
93;036725ac1ba94d40bf15a75c36adb184.parquet;572fb394eb5745dcb36dfdc478b222c8.parquet
94;d4c922016df84141ad176dac1455b725.parquet;8037e3f4a763480a83b9bb0b1def9ce3.parquet
95;8e4a80c1b7eb44e8844cc0f2ec4badff.parquet;7396f50037c84b029a5132dfec6f7896.parquet
96;605c29fae948465db8c2ab233852e982.parquet;7a9cbfbbdfc54eef806d6fcc69f8ce5e.parquet
97;52e74e4ef0d84c5c989fc4704e46b527.parquet;888f813404d8417ca8d6b8aebd5f2951.parquet
98;59ad203a6ac040fdb891702430440b01.parquet;fb8bce8063fc4370917b71963ddbd1cf.parquet
99;903e3170136d4ce7a7761664482d61c2.parquet;d27f7f229131410399c78101da6e624b.parquet
100;9495f2c64cee42078601dee7408e3c36.parquet;c6b5a2974aac4210a6803c5907baaa07.parquet
101;dbbf6dc725ee4bcb8656c427165c888d.parquet;3ac4a780531644b1b9534b3ac6c8d5f6.parquet
102;9d16ca233fea42c7a8ec91d621ca113a.parquet;0bdf7ff7bb4847bab154eb59fd1345bd.parquet
103;cc7984f01a8747299339cb441632d6c0.parquet;9e3f7f7b452a49e591da6115c17246af.parquet
104;6875618fb8144a80a033ae8de7809493.parquet;06b735024acc45cbb4c81392e6d040e0.parquet
105;a37b8bf4be2e4fa5b3ea63b7c4240d3d.parquet;cca562a08dc24721b0dd837564abc3b5.parquet
107;0a58f297fa7b471a8c39b79420f9990d.parquet;f1b306dc9c24482390bf2083c301c588.parquet
108;662f6789c2be46e28884e9caceb1f67a.parquet;581fd1b484db41e8a17449344c2ffb0e.parquet
109;fede24892e38482a9b0a0af7adb1030c.parquet;0621bfa8cb8545a189878af2727f8178.parquet
110;2bba26018b9c482e90ca9be02e856382.parquet;8870109f748e4ff4b9044e0debe8a54c.parquet
111;76fdfb893640493f8822cec944e35f0d.parquet;24bc76eb35d843d28cf4aeca325e9084.parquet
112;89c931289b58423bb27b45ce8109c148.parquet;cd283097a5b54293ba400a19e811a7f9.parquet
113;2698c014aa014ce0a476ccaf13795a43.parquet;7cc3c1fd9452435c83518f3c7c5b74a8.parquet
114;22c84a10a4b4477b85b5bf7688037e77.parquet;6e085d4ca2ba44359673a073bc8e41e9.parquet
115;32688ffcc77d40a5ab6ad8054cf44cab.parquet;4dfaedf40be3485085d926ab58672bde.parquet
116;bd6b0dc7386c49a79856b8df04e4a33b.parquet;96cd7e2d2ea74a62bd8b6d739fce17ca.parquet
118;eefc9574b4024ddb90eefc065ccd2918.parquet;d5c040f03683418f87556865166846df.parquet
119;a942847a75914186b47fec1c857e45fd.parquet;52f2e172b3444107903ec31242331923.parquet
120;3068890f5521450db46c271190fa24d8.parquet;0d06cf1025d84e19be32c9d9ffed9fd2.parquet
122;12dc61893ff0440e8972b8dc7d3988d8.parquet;a2e2aa41640f4986bebc1b95bd29966f.parquet
123;50d0df62ffc241dea0ae635e7858aca5.parquet;168edf076f064342ad8aa3b37551cb8a.parquet
124;a88197568c3e441cb1b45dccc5f3bd8b.parquet;8e3d48a3b163471eb121216a37c6de62.parquet
125;996b501aec144de8ae4149a72633db84.parquet;a3f2c4430e1f4a3fb5837af2d970825d.parquet
126;c877c4dda91f41018dbf6ccb1182ef28.parquet;3baa2ff424c8435d92fe32cfeed80ae7.parquet
